,,,,,,,,,,,
Niki Gonzalez,5,,,,,,,,,,5
Nicole Albornoz,,5,,,,,,,,,5
Monserrat Fernández,,,,1,,,,3,1,,5
Melanie Letelier,,,,,,,,,5,,5
Marjorie Hernández,5,,,,,,,,,,5
Mariana Oyarzo,,,1,2,2,,,,,,5
María Paz Aravena,,,,5,,,,,,,5
María Berrocal,,,,3,2,,,,,,5
Marcela Ramírez,,,,,,,,,5,,5
Kathalina Guerrero,,,,,1,,,,4,,5
Katerin Cubillos,,,,,,,,,,5,5
Karla Farías,,,,5,,,,,,,5
Karime Orozco,,,,4,1,,,,,,5
Jessica Galaz,,,1,1,,,2,1,,,5
Javiera Salvo,,,,,3,,,1,1,,5
Grimanesa Figueroa,,5,,,,,,,,,5
Francisca López,,,,,,,1,4,,,5
Estefany Vargas,,,,3,,,2,,,,5
Constanza Muñoz,,,2,,2,,,1,,,5
Claudia Herrera,,,,2,,,,1,2,,5
Catherine Rodríguez,,,,1,4,,,,,,5
Carolina Lillo,4,1,,,,,,,,,5
Carol Ardiles,,1,,,,,2,,2,,5
Carla Pizarro,,,,3,,,1,1,,,5
Carla Pérez,,,,,,,4,,1,,5
Camila Rodríguez,,,,4,,,1,,,,5
Camila Pávez,,,,,,,,,5,,5
Agustina Moya,,,,,,,3,2,,,5
Yocelyn Cisternas,,,,,,,,3,1,,4
Verena Trautmann,,,,,,,,,4,,4
Vanesa Orrego,,,,4,,,,,,,4
Valeria Bravo,,,,,4,,,,,,4
Sofía Hartard,,,1,,,,,,3,,4
Sofía Casanova,,,,4,,,,,,,4
Shelby High,,,,4,,,,,,,4
Sara Valenzuela,3,1,,,,,,,,,4
Rocío Soto,,,3,1,,,,,,,4
Rocío Maira,,,,,4,,,,,,4
Nicole Monrroy,,1,,,,,3,,,,4
Nicole Gutiérrez,,,1,,1,,,,2,,4
Montserrat Grau,1,,2,,,,,1,,,4
Monserrat Grau,,,,,4,,,,,,4
Martina Oses,,,,,,,1,1,2,,4
Maricela Pérez,,,,4,,,,,,,4
María Navarrete,,,,2,2,,,,,,4
María Mardones,,,,4,,,,,,,4
María José Soto,,4,,,,,,,,,4
María Consuelo Berrocal,4,,,,,,,,,,4
Margarita Collinao,,,,,,,3,1,,,4
Leslie Alarcón,,,,3,,,1,,,,4
Khishna Contreras,,,,,,,,,4,,4
Katherine Fuentes,4,,,,,,,,,,4
Katerine Cubillos,,,,,,,4,,,,4
Karla Paredes,,,,,,,1,2,1,,4
Josefina Keymer,,,,4,,,,,,,4
Joan Beyzaga,,,,4,,,,,,,4
Francisca Olave,,4,,,,,,,,,4
Francisca Irribarra,,,,,4,,,,,,4
Francesca Carvajal,,,,,4,,,,,,4
Estephany Rojas,,4,,,,,,,,,4
Emilia Pastrián,,,,3,,,,1,,,4
Elizabeth Manzano,,,,4,,,,,,,4
Elena Cortés,,,,,,,3,1,,,4
Denisse Orellana,,,,2,1,,1,,,,4
Daniela Herrera,,,,4,,,,,,,4
Dagna Leal,,,,4,,,,,,,4
Catherine Justiano,4,,,,,,,,,,4
Catalina Quezada,,4,,,,,,,,,4
Catalina Mussuto,,,,,,,4,,,,4
Catalina Martabit,,,,,,,,,4,,4
Carolina Riffo,,,,,,,4,,,,4
Candy Schenke,,,,,,,,4,,,4
Camila Moraga,,,,1,3,,,,,,4
Aracely Tapia,,,,,2,,2,,,,4
Antonia Riveros,,,,,,,,4,,,4
Antonia López,,,,,,,,,,4,4
Analía Aravena,,,,2,2,,,,,,4
Anaís Álvarez,,,,,,,,,4,,4
AG S. Wanderers,,,,4,,,,,,,4
Abigail Figueroa,,1,3,,,,,,,,4
Yessenia Arenas,,3,,,,,,,,,3
Yaritza Astudillo,,3,,,,,,,,,3
Yanara Lepín,,,3,,,,,,,,3
Walesca Campusano,3,,,,,,,,,,3
Victoria Paloma Sosa,,,,,,,,3,,,3
Victoria Osorio,,3,,,,,,,,,3
Valeska Campusano,,3,,,,,,,,,3
Valeria Núñez,,,,1,2,,,,,,3
Valentina Delgado,,,,,,,,3,,,3
Vaitiare Pardo,,,,,,,,,3,,3
Tiare Hermosilla,,,,3,,,,,,,3
Tatiana Pérez,,1,,1,1,,,,,,3
Sindy Espinosa,,,,,,,,3,,,3
Pía Jofré,,,,,,,1,1,1,,3
Perla Morones,,,,,3,,,,,,3
Paulina Lara,,3,,,,,,,,,3
Patricia Vega,1,2,,,,,,,,,3
Norma Castilla,,,,,1,1,,1,,,3
Nicole Chávez,,,,3,,,,,,,3
Nelyda Davies,,,,3,,,,,,,3
